Kod;Nazwa;Grupa;Jednostka;Ce.zak.netto;Ce.sprz.brutto;VAT;Ilość
229;PIECZARKI OPAKOWANIE KRAJOWE;WARZYWA I OWOCE;szt.;4,7;6,5;5;7
2030;GUMA MAMBA;CUKIERKI/WAFLE/CIASTKA;szt.;0,8;0,99;5;-121
202;JBB POLĘDWICA Z WARZYWAMI;MIĘSO I WĘDLINY;kg;13,99;19,5;5;1,355
4527;KIEŁBASA Z KOMINA;MIĘSO I WĘDLINY;kg;13;18,99;5;0,1
207;MIELONE;MRÓZ;kg;15,88;19,99;5;-0,608
205;KIEŁBASA MYŚLIWSKA SMOL;MRÓZ;kg;53,26;65,99;5;0,132
183;WINOGRONO PAKOWANE WŁOCHY;WARZYWA I OWOCE;szt.;3,81;6,5;5;0,906
184;KOPEREK;WARZYWA I OWOCE;kg;1,9;2,99;5;-5
4;CHLEB FAŁKOWO 500G;ALPA;szt.;2,69;3,59;5;-1
5;CHLEB CIEMNY FAŁKOWO 300-400G;ALPA;szt.;3;4,99;5;-4
8;BUŁKA WROCŁAWSKA;ALPA;szt.;0,88;1,15;5;-342
10;ROGAL;ALPA;szt.;1,05;1,6;5;-9
14;BUŁKA CIEMNA;ALPA;szt.;1,05;1,6;5;-23
15;CIASTKA;ALPA;szt.;2,6;3,65;5;-150
24;LODY CASATE Z BAKALIAMI;lody;szt.;9,7;13,5;5;6
218;JBB SALAMI ROGAL;GIŻEWSKA;kg;34,59;46,99;5;1,176
58;ŻEBERKA ROGOWO;MORAWSCY;kg;18,13;22,99;5;0,019
59;NOGI MORAWCY;MORAWSCY;kg;3,72;5,5;5;0,684
62;KOŚCI ŚWIEŻE MORAWSCY;MORAWSCY;kg;12,2;16,45;5;-0,049
67;SZYNKA POLSKA Z PRZYPRAWAMI;MORAWSCY;kg;18,89;24,8;5;-0,215
73;CYGAŃSKA PIECZONA;MORAWSCY;kg;27,51;34,99;5;-1,07
31;KIEŁBASA CHŁOPSKA MORAWSCY;MORAWSCY;kg;31,77;40,99;5;0,418
34;KARKÓWKA PIECZONA MORAWSCY;MORAWSCY;kg;29,84;37,5;5;1,251
79;POLĘDWICA SOPOCKA ROGOWO;ROGOWO;kg;29,3;37,5;5;0,4
84;SCHAB NA GRILLA;MORAWSCY;kg;29,74;36,5;5;-0,236
28317;ŻEBERKA CZERNIEJEWO;CZERNIEJEWO;kg;18,7;25,99;5;1,233
28316;KARTA ORANGE 100;ogólna;szt.;77,64;100;23;-3
1922;CIASTKA IRYS;CUKIERKI/WAFLE/CIASTKA;kg;16,59;25,99;23;0,278
249;EKLER PISTACJA;SENDAL;szt.;4,99;6,99;5;-5
28873;LULA CHUSTECZKI NAWILŻANE DLA DZIECI;chemia ogólna;szt.;4,25;7,5;8;-3
419;KIEŁBASA ŚLĄSKA ROGOWO;MIĘSO I WĘDLINY;kg;25,87;34,99;5;-0,24
421;SZYNKA BRACKA ROGOWO;MIĘSO I WĘDLINY;kg;34,2;44,5;5;0,996
247;SŁODKIE SERCA TAGO;CUKIERKI/WAFLE/CIASTKA;kg;18,99;27,5;5;0,061
246;BUŁKA MLECZNA;POBIEDZISKA;szt.;1,1;1,45;5;8
424;ZRAZÓWKA;MIĘSO I WĘDLINY;kg;16,9;22,99;5;-0,155
264;POLĘDWICZKA KRUCHA ZYGUŁA;ZYGUŁA;kg;27,99;39,99;5;-1,338
253;TRUSKAWKI SZT POLSKA;WARZYWA I OWOCE;szt.;7,52;9,99;5;4
254;LIMONKA LUZ BRAZYLIA;WARZYWA I OWOCE;kg;18;25,99;5;-0,065
321;KIEŁBASA DOMOWA SMOL;MIĘSO I WĘDLINY;kg;14,44;18,5;5;0,967
