,code,product_name
641,16613,kwieciński piekarnia kawa latte z syropem ml
642,3840,lenor kapsułka szt
643,10883,persil kapsułki do prania szt
644,3861,ariel kapsułki active szt
645,10882,vizir kapsułki do prania szt
646,13312,sed odśw samochodowy areon miś a zestaw
647,6095,kapsułki do zmywarki fairy szt
648,50002,odświeżacz brise glade relaxing ml
649,8453,prz do rur super spec g
650,1111192,areon listki zapachowe szt
651,15135,złoty podkład szt
652,14066,serwety papierowe x szt
653,14067,serwety papierowe cm szt
654,14217,wed sprezyna zanetowa z dociazeniem g n rurce
655,14218,wed koszyczki zanetowe g
656,14219,wed pojemnik lorpio do zanent l
657,10015,wsuwki d włosów szt
658,14533,nożyki d gol blue slalom szt gillette
659,13227,bis diodowy wkładświetlik s biały
660,15093,bateria daniell lr aaa alkaline
661,15096,bateria daniell lr aa alkaline
662,15241,termometr zaokienny cm
663,16196,koszt citizen kalkulator cmb bk czarna biurkowy miejsc podwójne zasilanie
664,16200,koszt prolech przedłużacz pr wsp m gu x mm 
665,16392,wtyczka z włącznikiem
666,16647,koszty termowentylat gobi
667,16724,koszt lampki led na baterie led
668,17021,suszarka do włosów w concept
669,16252,spiner mm
670,154,reklamówka
671,15094,koszulka na dok a
672,10853,torba papierowa duża
673,10872,torba papierowa mała szt
674,11688,torba papierowa duża
675,15137,temperówka alumin podwójna
676,15253,torebka pap 
677,15254,torebka pap 
678,15255,torebka pap 
679,10457,sp torba rodzinna papierowa
680,10923,widokówka osie tleń szt
681,14229,zemar cerkiel szt
682,14230,zemar ołówek excellent szt
683,15132,wstążka juta nadruk m
684,15133,wstążka z siatki koronkowej m
685,15134,grafit do cyrkla grand
686,3980,pędzelek szkolny pe h
687,14060,serwetki wycinane mix
688,9867,balon
689,17093,cyrkiel na ołówek
690,5063,reklamówka mikr
691,5454,kosz na zakupy
692,6432,my office kieszeń a
693,11335,koperta biała a 
694,11345,okładka na zeszyt
695,11792,kartka imieninowa
696,17072,koperta biała a
697,66,sklep polski torba zrywka 
698,14064,torba eko wzor
